Job Title,Rating,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,Company,min_salary,max_salary,avg_salary,job_state,same_state,age
"Data Analyst, Center on Immigration and Justice (CIJ)",3.2,"New York, NY","New York, NY",201 - 500 ,Nonprofit Organization,Social Assistance,Non-Profit,100 - 500 million,-1,True,"Vera Institute of Justice
",37,66,51.5,NY,1,60
Quality Data Analyst,3.8,"New York, NY","New York, NY",10000 ,Nonprofit Organization,Health Care Services & Hospitals,Health Care,2 - 5 billion,-1,-1,"Visiting Nurse Service of New York
",37,66,51.5,NY,1,128
"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",3.4,"New York, NY","New York, NY",1001 - 5000 ,Private,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy,-1,"Squarespace
",37,66,51.5,NY,1,18
Data Analyst,4.1,"New York, NY","McLean, VA",201 - 500 ,Subsidiary or Business Segment,IT Services,Information Technology,50 - 100 million,-1,-1,"Celerity
",37,66,51.5,NY,0,19
Reporting Data Analyst,3.9,"New York, NY","New York, NY",501 - 1000 ,Private,Sports & Recreation,"Arts, Entertainment & Recreation",100 - 500 million,DraftKings,True,"FanDuel
",37,66,51.5,NY,1,12
Data Analyst,3.9,"New York, NY","Stamford, CT",1001 - 5000 ,Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,"Point72
",37,66,51.5,NY,0,7
Business/Data Analyst (FP&A),4.4,"New York, NY","New York, NY",1001 - 5000 ,Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,"Two Sigma
",37,66,51.5,NY,1,20
Data Science Analyst,3.7,"New York, NY","New York, NY",201 - 500 ,Private,Insurance Carriers,Insurance,100 - 500 million,"Travelers, Chubb, Crum & Forster",True,"GNY Insurance Companies
",37,66,51.5,NY,1,107
Data Analyst,4.0,"New York, NY","London, United Kingdom",5001 - 10000 ,Public,Venture Capital & Private Equity,Finance,1 - 2 billion,"Thomson Reuters, Hearst, Pearson",-1,"DMGT
",37,66,51.5,NY,0,125
"Data Analyst, Merchant Health",4.4,"New York, NY","New York, NY",501 - 1000 ,Private,Research & Development,Business Services,Unknown / Non-Applicable,"Signifyd, Forter",-1,"Riskified
",37,66,51.5,NY,1,8
Data Analyst,4.0,"New York, NY","New York, NY",10000 ,Hospital,Health Care Services & Hospitals,Health Care,5 - 10 billion,"NewYork-Presbyterian Hospital, Northwell Health",-1,"NYU Langone Health
",37,66,51.5,NY,1,180
DATA ANALYST,3.7,"New York, NY","Bronx, NY",10000 ,Nonprofit Organization,Health Care Services & Hospitals,Health Care,2 - 5 billion,-1,-1,"Montefiore Medical
",37,66,51.5,NY,0,137
Senior Data Analyst,3.0,"New York, NY","New York, NY",201 - 500 ,Private,Advertising & Marketing,Business Services,100 - 500 million,-1,True,"Known
",37,66,51.5,NY,1,17
